PID;div_ID;file_name;title;date;topics
            rta1576.edd1e10d24421;d1e99t0d0627;rta1576.edd1e10d24421-d1e99t0d0627.txt;Kurfürstenratsprotokoll Sachsen Abs. 1;1576-06-27;listterm:sd1e0285 listterm:sd1e784 listterm:sd1e1250 listterm:sd1e777
        rta1576.edd1e10d24421;d1e205t1d0628;rta1576.edd1e10d24421-d1e205t1d0628.txt;Kurfürstenratsprotokoll Sachsen Abs. 9;1576-06-28;listterm:sd1e0285 listterm:sd1e784
        rta1576.edd1e10d24421;d1e238t2d0629;rta1576.edd1e10d24421-d1e238t2d0629.txt;Kurfürstenratsprotokoll Sachsen Abs. 12;1576-06-29;listterm:sd1e718 listterm:sd1e784 listterm:sd1e1250 listterm:sd1e798 listterm:sd1e0341 listterm:sd1e0234 listterm:sd1e777 listterm:sd1e770 listterm:sd1e213 listterm:sd1e1400 listterm:sd1e762 listterm:sd1e949
        rta1576.edd1e10d24421;d1e594t3d0625;rta1576.edd1e10d24421-d1e594t3d0625.txt;Kurfürstenratsprotokoll Sachsen Abs. 30;1576-06-25;listterm:sd1e970 listterm:sd1e1142 listterm:sd1e3 listterm:sd1e10 listterm:sd1e46 listterm:sd1e870 listterm:sd1e146 listterm:sd1e175 listterm:sd1e1479 listterm:sd1e282 listterm:sd1e526 listterm:sd1e469 listterm:sd1e497 listterm:sd1e519 listterm:sd1e655 listterm:sd1e698 listterm:sd1e641 listterm:sd1e719 listterm:sd1e963
        rta1576.edd1e10d24421;d1e767t4d0628;rta1576.edd1e10d24421-d1e767t4d0628.txt;Kurfürstenratsprotokoll Sachsen Abs. 44;1576-06-28;listterm:sd1e970 listterm:sd1e7182 listterm:sd1e282 listterm:sd1e526 listterm:sd1e6273 listterm:sd1e332 listterm:sd1e253 listterm:sd1e1415 listterm:sd1e1049 listterm:sd1e1135 listterm:sd1e1092
        rta1576.edd1e10d24421;d1e1117t5d0630;rta1576.edd1e10d24421-d1e1117t5d0630.txt;Kurfürstenratsprotokoll Sachsen Abs. 82;1576-06-30;listterm:sd1e7182 listterm:sd1e970 listterm:sd1e282 listterm:sd1e332 listterm:sd1e454 listterm:sd1e1028 listterm:sd1e39 listterm:sd1e3 listterm:sd1e1250 listterm:sd1e10 listterm:sd1e24 listterm:sd1e870 listterm:sd1e345 listterm:sd1e46 listterm:sd1e110 listterm:sd1e122 listterm:sd1e246 listterm:sd1e1185 listterm:sd1e12035 listterm:sd1e1157
        rta1576.edd1e10d24421;d1e1883t6d0703;rta1576.edd1e10d24421-d1e1883t6d0703.txt;Kurfürstenratsprotokoll Sachsen Abs. 129;1576-07-03;listterm:sd1e970 listterm:sd1e727 listterm:sd1e1250 listterm:sd1e1400 listterm:sd1e983 listterm:sd1e1415
        rta1576.edd1e10d24421;d1e2120t7d0706;rta1576.edd1e10d24421-d1e2120t7d0706.txt;Kurfürstenratsprotokoll Sachsen Abs. 148;1576-07-06;listterm:sd1e7182 listterm:sd1e727 listterm:sd1e970 listterm:sd1e1135 listterm:sd1e870 listterm:sd1e39 listterm:sd1e74 listterm:sd1e46 listterm:sd1e10 listterm:sd1e24 listterm:sd1e110 listterm:sd1e246 listterm:sd1e1415 listterm:sd1e96 listterm:sd1e122 listterm:sd1e1386 listterm:sd1e784 listterm:sd1e1250 listterm:sd1e777 listterm:sd1e282
        rta1576.edd1e10d24421;d1e2574t8d0707;rta1576.edd1e10d24421-d1e2574t8d0707.txt;Kurfürstenratsprotokoll Sachsen Abs. 169;1576-07-07;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e110 listterm:sd1e74 listterm:sd1e24 listterm:sd1e784 listterm:sd1e719 listterm:sd1e712 listterm:sd1e1222 listterm:sd1e1049
        rta1576.edd1e10d24421;d1e2928t9d0709;rta1576.edd1e10d24421-d1e2928t9d0709.txt;Kurfürstenratsprotokoll Sachsen Abs. 194;1576-07-09;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e719 listterm:sd1e96 listterm:sd1e1415 listterm:sd1e74 listterm:sd1e784 listterm:sd1e1250 listterm:sd1e777 listterm:sd1e1135 listterm:sd1e282 listterm:sd1e1551
        rta1576.edd1e10d24421;d1e3162t10d0711;rta1576.edd1e10d24421-d1e3162t10d0711.txt;Kurfürstenratsprotokoll Sachsen Abs. 213;1576-07-11;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e74 listterm:sd1e1343 listterm:sd1e1386 listterm:sd1e10 listterm:sd1e784 listterm:sd1e96
        rta1576.edd1e10d24421;d1e3392t11d0717;rta1576.edd1e10d24421-d1e3392t11d0717.txt;Kurfürstenratsprotokoll Sachsen Abs. 237;1576-07-17;listterm:sd1e7182 listterm:sd1e46 listterm:sd1e96 listterm:sd1e8293 listterm:sd1e1135 listterm:sd1e784 listterm:sd1e110 listterm:sd1e1415 listterm:sd1e10 listterm:sd1e719
        rta1576.edd1e10d24421;d1e3704t12d0718;rta1576.edd1e10d24421-d1e3704t12d0718.txt;Kurfürstenratsprotokoll Sachsen Abs. 275;1576-07-18;listterm:sd1e6273 listterm:sd1e253 listterm:sd1e719 listterm:sd1e1415 listterm:sd1e39
        rta1576.edd1e10d24421;d1e3755t13d0720;rta1576.edd1e10d24421-d1e3755t13d0720.txt;Kurfürstenratsprotokoll Sachsen Abs. 280;1576-07-20;listterm:sd1e7182 listterm:sd1e669 listterm:sd1e641 listterm:sd1e870 listterm:sd1e1222 listterm:sd1e1157 listterm:sd1e1250 listterm:sd1e282 listterm:sd1e397 listterm:sd1e1400
        rta1576.edd1e10d24421;d1e4198t14d0723;rta1576.edd1e10d24421-d1e4198t14d0723.txt;Kurfürstenratsprotokoll Sachsen Abs. 319;1576-07-23;listterm:sd1e6273 listterm:sd1e3 listterm:sd1e46 listterm:sd1e96 listterm:sd1e110 listterm:sd1e74 listterm:sd1e7182 listterm:sd1e123 listterm:sd1e1343 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e7182 listterm:sd1e755 listterm:sd1e1605 listterm:sd1e1293 listterm:sd1e1329 listterm:sd1e1192 listterm:sd1e1222 listterm:sd1e712 listterm:sd1e469 listterm:sd1e39
        rta1576.edd1e10d24421;d1e4567t15d0724;rta1576.edd1e10d24421-d1e4567t15d0724.txt;Kurfürstenratsprotokoll Sachsen Abs. 345;1576-07-24;listterm:sd1e7182 listterm:sd1e1222 listterm:sd1e1551 listterm:sd1e96 listterm:sd1e46 listterm:sd1e1479 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e110 listterm:sd1e6273 listterm:sd1e1192 listterm:sd1e253 listterm:sd1e1157 listterm:sd1e1185 listterm:sd1e246
        rta1576.edd1e10d24421;d1e4934t16d0726;rta1576.edd1e10d24421-d1e4934t16d0726.txt;Kurfürstenratsprotokoll Sachsen Abs. 384;1576-07-26;listterm:sd1e7182 listterm:sd1e39 listterm:sd1e110 listterm:sd1e1400 listterm:sd1e246 listterm:sd1e1157 listterm:sd1e24 listterm:sd1e96 listterm:sd1e906 listterm:sd1e762 listterm:sd1e949 listterm:sd1e1605 listterm:sd1e6273
        rta1576.edd1e10d24421;d1e5252t17d0727;rta1576.edd1e10d24421-d1e5252t17d0727.txt;Kurfürstenratsprotokoll Sachsen Abs. 415;1576-07-27;listterm:sd1e7182 listterm:sd1e1222 listterm:sd1e712 listterm:sd1e469 listterm:sd1e39 listterm:sd1e6273 listterm:sd1e110 listterm:sd1e1400 listterm:sd1e96 listterm:sd1e253
        rta1576.edd1e10d24421;d1e5472t18d0728;rta1576.edd1e10d24421-d1e5472t18d0728.txt;Kurfürstenratsprotokoll Sachsen Abs. 441;1576-07-28;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e39 listterm:sd1e870 listterm:sd1e7182 listterm:sd1e1157 listterm:sd1e669 listterm:sd1e641 listterm:sd1e698 listterm:sd1e1415 listterm:sd1e1221 listterm:sd1e1250 listterm:sd1e655 listterm:sd1e1400 listterm:sd1e345
        rta1576.edd1e10d24421;d1e5925t19d0730;rta1576.edd1e10d24421-d1e5925t19d0730.txt;Kurfürstenratsprotokoll Sachsen Abs. 464;1576-07-30;listterm:sd1e7182 listterm:sd1e655 listterm:sd1e641 listterm:sd1e1415 listterm:sd1e1221 listterm:sd1e345 listterm:sd1e698 listterm:sd1e870 listterm:sd1e1250
        rta1576.edd1e10d24421;d1e6124t20d0731;rta1576.edd1e10d24421-d1e6124t20d0731.txt;Kurfürstenratsprotokoll Sachsen Abs. 478;1576-07-31;listterm:sd1e7182 listterm:sd1e146 listterm:sd1e870 listterm:sd1e949 listterm:sd1e175 listterm:sd1e1479 listterm:sd1e246 listterm:sd1e397 listterm:sd1e1415 listterm:sd1e1357 listterm:sd1e1400
        rta1576.edd1e10d24421;d1e6534t21d0801;rta1576.edd1e10d24421-d1e6534t21d0801.txt;Kurfürstenratsprotokoll Sachsen Abs. 503;1576-08-01;listterm:sd1e7182 listterm:sd1e175 listterm:sd1e927 listterm:sd1e1415 listterm:sd1e397 listterm:sd1e1222 listterm:sd1e1157
