PID;div_ID;file_name;title;date;topics
            rta1576.edd1e10u1591;d1e37t0d0625;rta1576.edd1e10u1591-d1e37t0d0625.txt;Städteratsprotokoll Ulm Abs. 1r;1576-06-25;listterm:sd1e970 listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e3 listterm:sd1e10 listterm:sd1e46 listterm:sd1e146 listterm:sd1e1479 listterm:sd1e963
        rta1576.edd1e10u1591;d1e322t1d0628;rta1576.edd1e10u1591-d1e322t1d0628.txt;Städteratsprotokoll Ulm Abs. 12;1576-06-28;listterm:sd1e970 listterm:sd1e1993 listterm:sd1e719 listterm:sd1e1135 listterm:sd1e4637 listterm:sd1e253 listterm:sd1e3543 listterm:sd1e332
        rta1576.edd1e10u1591;d1e438t2d0705;rta1576.edd1e10u1591-d1e438t2d0705.txt;Städteratsprotokoll Ulm Abs. 22;1576-07-05;
        rta1576.edd1e10u1591;d1e724t3d0706;rta1576.edd1e10u1591-d1e724t3d0706.txt;Städteratsprotokoll Ulm Abs. 36;1576-07-06;listterm:sd1e1993 listterm:sd1e39 listterm:sd1e46 listterm:sd1e74 listterm:sd1e4637 listterm:sd1e963
        rta1576.edd1e10u1591;d1e770t4d0709;rta1576.edd1e10u1591-d1e770t4d0709.txt;Städteratsprotokoll Ulm Abs. 42;1576-07-09;listterm:sd1e253 listterm:sd1e1222 listterm:sd1e1551 listterm:sd1e39
        rta1576.edd1e10u1591;d1e833t5d0711;rta1576.edd1e10u1591-d1e833t5d0711.txt;Städteratsprotokoll Ulm Abs. 46;1576-07-11;listterm:sd1e1993 listterm:sd1e282 listterm:sd1e332 listterm:sd1e1049 listterm:sd1e6273 listterm:sd1e719 listterm:sd1e4637 listterm:sd1e1028 listterm:sd1e46 listterm:sd1e74 listterm:sd1e7364
        rta1576.edd1e10u1591;d1e941t6d0718;rta1576.edd1e10u1591-d1e941t6d0718.txt;Städteratsprotokoll Ulm Abs. 57;1576-07-18;listterm:sd1e253 listterm:sd1e719 listterm:sd1e1415 listterm:sd1e39
        rta1576.edd1e10u1591;d1e1012t7d0719;rta1576.edd1e10u1591-d1e1012t7d0719.txt;Städteratsprotokoll Ulm Abs. 63;1576-07-19;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e719
        rta1576.edd1e10u1591;d1e1039t8d0720;rta1576.edd1e10u1591-d1e1039t8d0720.txt;Städteratsprotokoll Ulm Abs. 66;1576-07-20;listterm:sd1e1993 listterm:sd1e1222 listterm:sd1e1551 listterm:sd1e39
        rta1576.edd1e10u1591;d1e1071t9d0723;rta1576.edd1e10u1591-d1e1071t9d0723.txt;Städteratsprotokoll Ulm Abs. 70;1576-07-23;listterm:sd1e1993 listterm:sd1e39
        rta1576.edd1e10u1591;d1e1105t10d0724;rta1576.edd1e10u1591-d1e1105t10d0724.txt;Städteratsprotokoll Ulm Abs. 73;1576-07-24;listterm:sd1e253 listterm:sd1e39 listterm:sd1e1222 listterm:sd1e1551 listterm:sd1e96 listterm:sd1e1993 listterm:sd1e7364 listterm:sd1e1386 listterm:sd1e1400 listterm:sd1e870
        rta1576.edd1e10u1591;d1e1260t11d0726;rta1576.edd1e10u1591-d1e1260t11d0726.txt;Städteratsprotokoll Ulm Abs. 83;1576-07-26 1576-07-27;listterm:sd1e39 listterm:sd1e253 listterm:sd1e110 listterm:sd1e1993 listterm:sd1e25533
        rta1576.edd1e10u1591;d1e1313t12d0728;rta1576.edd1e10u1591-d1e1313t12d0728.txt;Städteratsprotokoll Ulm Abs. 89;1576-07-28;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e39 listterm:sd1e641 listterm:sd1e1993 listterm:sd1e4637
