PID;div_ID;file_name;title;date;topics
            rta1576.edd1e11W110511;d1e53t0d0501;rta1576.edd1e11W110511-d1e53t0d0501.txt;Kurfürstenratsprotokoll Mainz Abs. 1;1576-05-01;listterm:sd1e963
        rta1576.edd1e11W110511;d1e239t1d0529;rta1576.edd1e11W110511-d1e239t1d0529.txt;Kurfürstenratsprotokoll Mainz Abs. 3;1576-05-29;listterm:sd1e1222 listterm:sd1e1250 listterm:sd1e1157 listterm:sd1e641
        rta1576.edd1e11W110511;d1e526t2d0613;rta1576.edd1e11W110511-d1e526t2d0613.txt;Kurfürstenratsprotokoll Mainz Abs. 9;1576-06-13;listterm:sd1e963
        rta1576.edd1e11W110511;d1e547t3d0617;rta1576.edd1e11W110511-d1e547t3d0617.txt;Kurfürstenratsprotokoll Mainz Abs. 11;1576-06-17;listterm:sd1e1142 listterm:sd1e963 listterm:sd1e970
        rta1576.edd1e11W110511;d1e618t4d0618;rta1576.edd1e11W110511-d1e618t4d0618.txt;Kurfürstenratsprotokoll Mainz Abs. 14;1576-06-18;listterm:sd1e1028 listterm:sd1e1142 listterm:sd1e963 listterm:sd1e246 listterm:sd1e3 listterm:sd1e870
        rta1576.edd1e11W110511;d1e941t5d0621;rta1576.edd1e11W110511-d1e941t5d0621.txt;Kurfürstenratsprotokoll Mainz Abs. 18;1576-06-21;listterm:sd1e970 listterm:sd1e1142
        rta1576.edd1e11W110511;d1e1096t6d0624;rta1576.edd1e11W110511-d1e1096t6d0624.txt;Kurfürstenratsprotokoll Mainz Abs. 20;1576-06-24;listterm:sd1e970 listterm:sd1e1250 listterm:sd1e1372 listterm:sd1e1407 listterm:sd1e963
        rta1576.edd1e11W110511;d1e1355t7d0625;rta1576.edd1e11W110511-d1e1355t7d0625.txt;Kurfürstenratsprotokoll Mainz Abs. 30;1576-06-25;listterm:sd1e970 listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e963 listterm:sd1e3 listterm:sd1e39 listterm:sd1e10 listterm:sd1e46 listterm:sd1e146 listterm:sd1e175 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e24 listterm:sd1e122 listterm:sd1e870 listterm:sd1e282 listterm:sd1e397 listterm:sd1e526 listterm:sd1e1221 listterm:sd1e469 listterm:sd1e497 listterm:sd1e519 listterm:sd1e655 listterm:sd1e691 listterm:sd1e698 listterm:sd1e719
        rta1576.edd1e11W110511;d1e2075t8d0627;rta1576.edd1e11W110511-d1e2075t8d0627.txt;Kurfürstenratsprotokoll Mainz Abs. 62;1576-06-27;listterm:sd1e719 listterm:sd1e1135 listterm:sd1e970 listterm:sd1e712
        rta1576.edd1e11W110511;d1e2202t9d0628;rta1576.edd1e11W110511-d1e2202t9d0628.txt;Kurfürstenratsprotokoll Mainz Abs. 68;1576-06-28;listterm:sd1e7182 listterm:sd1e282 listterm:sd1e526 listterm:sd1e332 listterm:sd1e1415 listterm:sd1e6273 listterm:sd1e1049 listterm:sd1e1135 listterm:sd1e1092 listterm:sd1e253
        rta1576.edd1e11W110511;d1e2608t10d0629;rta1576.edd1e11W110511-d1e2608t10d0629.txt;Kurfürstenratsprotokoll Mainz Abs. 100;1576-06-29;
        rta1576.edd1e11W110511;d1e2614t11d0630;rta1576.edd1e11W110511-d1e2614t11d0630.txt;Kurfürstenratsprotokoll Mainz Abs. 101;1576-06-30;listterm:sd1e7182 listterm:sd1e970 listterm:sd1e39 listterm:sd1e282 listterm:sd1e454 listterm:sd1e332 listterm:sd1e1028 listterm:sd1e89 listterm:sd1e24 listterm:sd1e46 listterm:sd1e1250 listterm:sd1e3 listterm:sd1e122 listterm:sd1e870 listterm:sd1e345 listterm:sd1e1157 listterm:sd1e246 listterm:sd1e1185 listterm:sd1e12035 listterm:sd1e110 listterm:sd1e1400 listterm:sd1e1415 listterm:sd1e10 listterm:sd1e31 listterm:sd1e590
        rta1576.edd1e11W110511;d1e3528t12d0701;rta1576.edd1e11W110511-d1e3528t12d0701.txt;Kurfürstenratsprotokoll Mainz Abs. 152;1576-07-01;
