PID;div_ID;file_name;title;date;topics
            rta1576.edd1e7w152270;d1e379t0d0625;rta1576.edd1e7w152270-d1e379t0d0625.txt;Fürstenratsprotokoll Österreich Abs. 4;1576-06-25;listterm:sd1e970 listterm:sd1e1142 listterm:sd1e719 listterm:sd1e1028 listterm:sd1e963 listterm:sd1e3 listterm:sd1e10 listterm:sd1e146 listterm:sd1e949
        rta1576.edd1e7w152270;d1e734t1d0628;rta1576.edd1e7w152270-d1e734t1d0628.txt;Fürstenratsprotokoll Österreich Abs. 16;1576-06-28;listterm:sd1e970 listterm:sd1e719 listterm:sd1e1135 listterm:sd1e123 listterm:sd1e1049 listterm:sd1e39 listterm:sd1e1092 listterm:sd1e6273 listterm:sd1e282 listterm:sd1e332 listterm:sd1e454 listterm:sd1e253 listterm:sd1e712
        rta1576.edd1e7w152270;d1e1351t2d0630;rta1576.edd1e7w152270-d1e1351t2d0630.txt;Fürstenratsprotokoll Österreich Abs. 43;1576-06-30;listterm:sd1e123 listterm:sd1e1092 listterm:sd1e39 listterm:sd1e1479 listterm:sd1e712 listterm:sd1e1135 listterm:sd1e282 listterm:sd1e332 listterm:sd1e913 listterm:sd1e1415 listterm:sd1e1192
        rta1576.edd1e7w152270;d1e1730t3d0703;rta1576.edd1e7w152270-d1e1730t3d0703.txt;Fürstenratsprotokoll Österreich Abs. 64;1576-07-03;listterm:sd1e1142 listterm:sd1e1028 listterm:sd1e1092 listterm:sd1e3 listterm:sd1e10 listterm:sd1e884 listterm:sd1e46 listterm:sd1e74 listterm:sd1e110
        rta1576.edd1e7w152270;d1e1912t4d0704;rta1576.edd1e7w152270-d1e1912t4d0704.txt;Fürstenratsprotokoll Österreich Abs. 71;1576-07-04;listterm:sd1e1092 listterm:sd1e719 listterm:sd1e1415 listterm:sd1e123 listterm:sd1e3 listterm:sd1e10 listterm:sd1e39 listterm:sd1e46 listterm:sd1e870 listterm:sd1e1551 listterm:sd1e122 listterm:sd1e74 listterm:sd1e1264 listterm:sd1e1293 listterm:sd1e1307 listterm:sd1e1329 listterm:sd1e1343 listterm:sd1e1350 listterm:sd1e1400 listterm:sd1e246 listterm:sd1e1157 listterm:sd1e110 listterm:sd1e1479 listterm:sd1e1372 listterm:sd1e24 listterm:sd1e1185 listterm:sd1e12035 listterm:sd1e89 listterm:sd1e762 listterm:sd1e949 listterm:sd1e146 listterm:sd1e96
        rta1576.edd1e7w152270;d1e3009t5d0705;rta1576.edd1e7w152270-d1e3009t5d0705.txt;Fürstenratsprotokoll Österreich Abs. 120;1576-07-05;listterm:sd1e1092 listterm:sd1e39 listterm:sd1e46 listterm:sd1e74 listterm:sd1e3 listterm:sd1e10 listterm:sd1e89 listterm:sd1e1278 listterm:sd1e469 listterm:sd1e96 listterm:sd1e110 listterm:sd1e519 listterm:sd1e1400 listterm:sd1e1157 listterm:sd1e12035 listterm:sd1e1185 listterm:sd1e175 listterm:sd1e1257 listterm:sd1e1415 listterm:sd1e891 listterm:sd1e1293 listterm:sd1e1321 listterm:sd1e282
        rta1576.edd1e7w152270;d1e3681t6d0706;rta1576.edd1e7w152270-d1e3681t6d0706.txt;Fürstenratsprotokoll Österreich Abs. 176;1576-07-06;listterm:sd1e46
        rta1576.edd1e7w152270;d1e3699t7d0707;rta1576.edd1e7w152270-d1e3699t7d0707.txt;Fürstenratsprotokoll Österreich Abs. 178;1576-07-07;listterm:sd1e1092 listterm:sd1e46 listterm:sd1e74 listterm:sd1e89 listterm:sd1e10 listterm:sd1e122
        rta1576.edd1e7w152270;d1e3793t8d0709;rta1576.edd1e7w152270-d1e3793t8d0709.txt;Fürstenratsprotokoll Österreich Abs. 184;1576-07-09;listterm:sd1e123 listterm:sd1e39 listterm:sd1e1092 listterm:sd1e3 listterm:sd1e10 listterm:sd1e1157 listterm:sd1e1185 listterm:sd1e175 listterm:sd1e46 listterm:sd1e74 listterm:sd1e762 listterm:sd1e949 listterm:sd1e1135 listterm:sd1e1250 listterm:sd1e784 listterm:sd1e1357 listterm:sd1e282 listterm:sd1e332 listterm:sd1e719 listterm:sd1e253 listterm:sd1e1222 listterm:sd1e1551
        rta1576.edd1e7w152270;d1e4145t9d0711;rta1576.edd1e7w152270-d1e4145t9d0711.txt;Fürstenratsprotokoll Österreich Abs. 206;1576-07-11;listterm:sd1e123 listterm:sd1e719 listterm:sd1e1386
