;docname;top_topic;topic_score
0;rta1576.edd1e10d24421-d1e99t0d0627.txt;87, 45, 74;0.5145531, 0.45487896, 0.022986647
1;rta1576.edd1e10d24421-d1e205t1d0628.txt;66, 74;0.7902175, 0.18329138
2;rta1576.edd1e10d24421-d1e238t2d0629.txt;6;0.9978047
3;rta1576.edd1e10d24421-d1e594t3d0625.txt;37, 3, 74;0.5789843, 0.23136725, 0.18376781
4;rta1576.edd1e10d24421-d1e767t4d0628.txt;3, 87, 74;0.45177776, 0.35313076, 0.1892951
5;rta1576.edd1e10d24421-d1e1117t5d0630.txt;87, 0, 45, 3, 54, 73, 5, 93, 50, 61, 30;0.58532083, 0.10075953, 0.057015833, 0.053286128, 0.040112704, 0.038890306, 0.026539193, 0.025639366, 0.020911304, 0.020126782, 0.011452568
6;rta1576.edd1e10d24421-d1e1883t6d0703.txt;3;0.9979793
7;rta1576.edd1e10d24421-d1e2120t7d0706.txt;87, 54, 93, 45, 3;0.80857897, 0.04856691, 0.04716612, 0.03335505, 0.027162768
8;rta1576.edd1e10d24421-d1e2574t8d0707.txt;87, 42, 0, 15;0.62855303, 0.26090452, 0.073538475, 0.031388316
9;rta1576.edd1e10d24421-d1e2928t9d0709.txt;87, 60, 54;0.71411985, 0.25983226, 0.023267485
10;rta1576.edd1e10d24421-d1e3162t10d0711.txt;87, 15, 72;0.6692707, 0.22348586, 0.10352566
11;rta1576.edd1e10d24421-d1e3392t11d0717.txt;87, 7;0.614945, 0.3664718
12;rta1576.edd1e10d24421-d1e3704t12d0718.txt;87, 52, 74;0.46248704, 0.29799533, 0.21930319
13;rta1576.edd1e10d24421-d1e3755t13d0720.txt;87, 17, 45;0.5724088, 0.4123041, 0.013842955
14;rta1576.edd1e10d24421-d1e4198t14d0723.txt;87, 91, 45, 74, 0, 99, 84;0.5898492, 0.16596013, 0.09379061, 0.06807221, 0.03485511, 0.02331816, 0.022700975
15;rta1576.edd1e10d24421-d1e4567t15d0724.txt;87, 0, 74, 7, 30;0.51393414, 0.27350584, 0.14158764, 0.025310168, 0.024139402
16;rta1576.edd1e10d24421-d1e4934t16d0726.txt;87, 99;0.5687007, 0.42905602
17;rta1576.edd1e10d24421-d1e5252t17d0727.txt;84;0.9955602
