;Topic_Nr;Words;Probability
0;0;Trier, hilff, Pfaltz, Hetten, sachen, rath, Sachsen, monat, Meintz, caesari;0.009036265, 0.008419295, 0.007198786, 0.0071882657, 0.007185408, 0.0071363705, 0.0070361956, 0.006659848, 0.006582058, 0.006057707
1;1;Trier, pro, Maintz, jar, ad, Collen, tag, deputation, Pfaltz, 6;0.018125057, 0.015766839, 0.01424963, 0.0130989915, 0.012769072, 0.010951457, 0.010739562, 0.0105918115, 0.010053689, 0.009295456
2;2;Ilsung, Auffzuheben, Trier, gar, Reichs, patenten, hoch, weingarten, Lifflandt, marschalck;0.0065235496, 0.0065235496, 0.0032778732, 0.0032778725, 0.0032778725, 0.003277872, 0.003277872, 0.0032778713, 0.0032778713, 0.0032778713
3;3;Meintz, proposition, Sachssen, churfursten, legation, sachen, rethe, rath, fursten, Reichs;0.01797299, 0.014118118, 0.013865897, 0.008121123, 0.0069928463, 0.0064590904, 0.006378051, 0.0061688917, 0.005833626, 0.0057856743
4;4;Reichs, versehen, Meintz, anno, rath, tag, caution, puncto, gnugsam, person;0.013917407, 0.0111911595, 0.010614935, 0.008404021, 0.006714633, 0.0066803773, 0.005525501, 0.005254206, 0.0051263976, 0.0050498955
5;5;hilff, grenitz, gar, hern, stendt, ad, Saxen, Harrach, Trautson, Schwendi;0.014869868, 0.010150636, 0.0095725, 0.008851858, 0.008635611, 0.008621005, 0.008451012, 0.0083958795, 0.006832064, 0.0064481157
6;6;schrifft, rethe, concept, graffen, stende, bitten, gesandter, anhero, 2), anno;0.013997705, 0.008393779, 0.0070233606, 0.0069938046, 0.005694171, 0.005602157, 0.0055978056, 0.0043107346, 0.0042788107, 0.0042517576
7;7;schrifft, gesandten, schrift, di, herrn, bevelch, rethe, ubergeben, resolution, confession;0.010630696, 0.010319905, 0.010191814, 0.008294522, 0.0077506006, 0.0073900647, 0.0072785537, 0.007038207, 0.0067181424, 0.0065352935
8;8;stendt, sachen, concept, puncto, sessionis, selbst, pleiben, verglichen, rath, ursachen;0.008402278, 0.007521501, 0.0069672004, 0.006755179, 0.0057937503, 0.005271917, 0.004991779, 0.0049656467, 0.004755975, 0.0045992825
9;9;stenden, person, abschiedts, proposition, räthe, stendt, schwacheit, leibs, Reichs, abgelesen;0.009195703, 0.009093205, 0.007278165, 0.0055526807, 0.0054998444, 0.0054956507, 0.0054631205, 0.0054631205, 0.003694687, 0.0036865915
10;10;hilf, stend, feind, proposition, Reich, müntz, zusetzen, wz, gefallen, gesandten;0.008512189, 0.008098228, 0.0062835715, 0.006106688, 0.0059156176, 0.0058837347, 0.0058180788, 0.005171026, 0.005167988, 0.0048553017
